Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Revenue
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,100
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,1500
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,1500
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,900
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,100
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,75
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,120
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,900
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,25
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,1200
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,1200
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,200
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,100
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,2000
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,2000
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,100
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,90
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,500
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,1200
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,100
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,30
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,1000
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,600
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,600
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,900
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,50
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,50
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,300
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,60
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,75
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,1500
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,1200
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,25
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,200
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,1500
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,60
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,150
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,1000
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,300
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,75
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,25
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,50
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,1000
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,2000
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,50
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,60
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,60
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,50
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,1000
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,100
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,500
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,1200
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,90
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,1200
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,200
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,90
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,30
317,2023-01-30,CUST317,Male,22,Electronics,3,30,90,90
326,2023-09-15,CUST326,Female,18,Clothing,3,25,75,75
339,2023-03-03,CUST339,Female,22,Electronics,2,25,50,50
343,2023-11-01,CUST343,Male,21,Electronics,2,25,50,50
364,2023-08-23,CUST364,Female,19,Beauty,1,500,500,500
369,2023-11-15,CUST369,Male,23,Electronics,3,500,1500,1500
370,2023-10-16,CUST370,Male,23,Electronics,2,30,60,60
371,2023-02-21,CUST371,Female,20,Beauty,1,25,25,25
372,2023-02-07,CUST372,Female,24,Beauty,3,500,1500,1500
389,2023-12-01,CUST389,Male,21,Clothing,2,25,50,50
391,2023-01-05,CUST391,Male,19,Beauty,2,25,50,50
393,2023-10-11,CUST393,Female,22,Beauty,2,500,1000,1000
406,2023-04-18,CUST406,Female,22,Beauty,4,25,100,100
409,2023-12-18,CUST409,Female,21,Electronics,3,300,900,900
412,2023-09-16,CUST412,Female,19,Electronics,4,500,2000,2000
420,2023-01-23,CUST420,Female,22,Clothing,4,500,2000,2000
426,2023-03-24,CUST426,Male,23,Electronics,3,50,150,150
446,2023-06-07,CUST446,Male,21,Electronics,1,50,50,50
447,2023-07-06,CUST447,Male,22,Beauty,4,500,2000,2000
461,2023-03-25,CUST461,Female,18,Beauty,2,500,1000,1000
469,2023-05-08,CUST469,Male,18,Beauty,3,25,75,75
484,2023-01-13,CUST484,Female,19,Clothing,4,300,1200,1200
485,2023-12-04,CUST485,Male,24,Electronics,1,30,30,30
495,2023-07-24,CUST495,Male,24,Beauty,2,30,60,60
496,2023-12-14,CUST496,Male,23,Clothing,2,300,600,600
505,2023-01-20,CUST505,Male,24,Beauty,1,50,50,50
513,2023-09-19,CUST513,Male,24,Electronics,4,25,100,100
514,2023-03-01,CUST514,Female,18,Electronics,1,300,300,300
530,2023-02-05,CUST530,Female,18,Electronics,4,30,120,120
533,2023-11-16,CUST533,Male,19,Electronics,3,500,1500,1500
537,2023-06-03,CUST537,Female,21,Beauty,1,500,500,500
538,2023-09-17,CUST538,Male,18,Clothing,3,50,150,150
542,2023-06-17,CUST542,Female,20,Beauty,1,50,50,50
553,2023-03-31,CUST553,Male,24,Clothing,4,300,1200,1200
556,2023-06-04,CUST556,Female,18,Electronics,1,50,50,50
557,2023-07-27,CUST557,Female,20,Beauty,3,30,90,90
563,2023-08-09,CUST563,Male,20,Clothing,2,30,60,60
577,2023-02-13,CUST577,Male,21,Beauty,4,500,2000,2000
583,2023-06-21,CUST583,Female,24,Electronics,4,25,100,100
585,2023-05-01,CUST585,Female,24,Clothing,1,25,25,25
594,2023-09-01,CUST594,Female,19,Electronics,2,300,600,600
595,2023-11-09,CUST595,Female,18,Clothing,4,500,2000,2000
597,2023-08-22,CUST597,Male,22,Beauty,4,300,1200,1200
601,2023-04-10,CUST601,Male,19,Clothing,1,30,30,30
602,2023-12-23,CUST602,Female,20,Electronics,1,300,300,300
606,2023-05-05,CUST606,Male,22,Electronics,1,50,50,50
628,2023-11-01,CUST628,Female,19,Beauty,4,50,200,200
636,2023-03-23,CUST636,Female,21,Beauty,3,500,1500,1500
644,2023-09-06,CUST644,Male,23,Beauty,3,25,75,75
663,2023-03-20,CUST663,Male,23,Clothing,4,300,1200,1200
669,2023-06-19,CUST669,Male,24,Beauty,4,300,1200,1200
677,2023-10-27,CUST677,Female,19,Beauty,3,500,1500,1500
679,2023-01-11,CUST679,Female,18,Beauty,3,30,90,90
695,2023-08-12,CUST695,Female,22,Electronics,3,50,150,150
709,2023-07-21,CUST709,Female,19,Electronics,2,500,1000,1000
714,2023-02-12,CUST714,Female,18,Clothing,1,500,500,500
722,2023-07-14,CUST722,Male,20,Beauty,3,300,900,900
747,2023-11-15,CUST747,Male,23,Beauty,1,30,30,30
762,2023-11-07,CUST762,Female,24,Electronics,2,25,50,50
768,2023-01-14,CUST768,Female,24,Beauty,3,25,75,75
771,2023-12-13,CUST771,Male,24,Electronics,2,25,50,50
792,2023-07-09,CUST792,Female,20,Beauty,1,50,50,50
801,2023-08-10,CUST801,Male,21,Clothing,4,50,200,200
812,2023-11-12,CUST812,Male,19,Electronics,3,25,75,75
836,2023-04-19,CUST836,Female,22,Clothing,1,50,50,50
837,2023-07-01,CUST837,Male,18,Beauty,3,30,90,90
839,2023-06-24,CUST839,Female,20,Electronics,4,300,1200,1200
843,2023-05-22,CUST843,Male,21,Beauty,3,500,1500,1500
847,2023-04-08,CUST847,Female,18,Electronics,4,300,1200,1200
853,2023-05-04,CUST853,Male,21,Beauty,2,500,1000,1000
858,2023-09-09,CUST858,Male,23,Electronics,2,50,100,100
866,2023-05-05,CUST866,Male,24,Electronics,1,50,50,50
867,2023-06-06,CUST867,Male,21,Electronics,1,500,500,500
878,2023-06-30,CUST878,Female,20,Clothing,1,30,30,30
879,2023-12-26,CUST879,Male,23,Clothing,1,30,30,30
880,2023-08-21,CUST880,Male,22,Beauty,2,500,1000,1000
881,2023-05-19,CUST881,Male,22,Electronics,1,300,300,300
892,2023-04-09,CUST892,Male,20,Electronics,1,50,50,50
900,2023-02-21,CUST900,Male,21,Clothing,2,30,60,60
906,2023-06-04,CUST906,Female,20,Clothing,1,50,50,50
910,2023-03-06,CUST910,Female,20,Beauty,3,50,150,150
919,2023-09-09,CUST919,Female,22,Beauty,2,25,50,50
926,2023-08-14,CUST926,Male,22,Electronics,1,30,30,30
929,2023-01-27,CUST929,Female,23,Beauty,3,25,75,75
933,2023-02-03,CUST933,Male,22,Beauty,1,30,30,30
940,2023-01-28,CUST940,Female,20,Electronics,1,30,30,30
948,2023-10-13,CUST948,Female,23,Electronics,3,25,75,75
964,2023-01-31,CUST964,Male,24,Clothing,3,300,900,900
965,2023-11-09,CUST965,Male,22,Clothing,4,50,200,200
979,2023-01-02,CUST979,Female,19,Beauty,1,25,25,25
985,2023-05-30,CUST985,Female,19,Electronics,2,25,50,50
998,2023-10-29,CUST998,Female,23,Beauty,4,25,100,100
